Time,Ambient Temperature,Cooler with Ice,Tray with Ice,Tray with Ice Packs ,Refrigerated Tray,Refrigeration
1,1.6,2.45,1.8,1.55,1.675,21.9
2,1.8,2.5,2.15,1.9,2.025,21.6
3,2.2,2.45,2.35,2,2.175,21.3
4,2.45,2.5,2.45,2.1,2.275,21.1
5,2.75,2.55,2.7,2.25,2.475,20.9
6,3.05,2.55,2.8,2.3,2.55,20.8
7,3.35,2.55,2.95,2.35,2.65,20.6
8,3.65,2.6,3.1,2.4,2.75,20.4
9,3.85,2.6,3.35,2.45,2.9,20.2
10,4.1,2.65,3.5,2.6,3.05,20
11,4.35,2.65,3.65,2.65,3.15,19.8
12,4.6,2.65,3.8,2.7,3.25,19.6
13,4.8,2.7,4,2.75,3.375,19.4
14,5,2.7,4.1,2.9,3.5,19.1
15,5.25,2.7,4.2,2.95,3.575,18.9
16,5.45,2.7,4.35,2.95,3.65,18.7
17,5.65,2.65,4.5,3.1,3.8,18.5
18,5.85,2.7,4.65,3.1,3.875,18.3
19,6.05,2.8,4.8,3.2,4,18.2
20,6.25,2.8,5,3.2,4.1,18
21,6.4,2.8,5.1,3.35,4.225,17.8
22,6.65,2.85,5.15,3.45,4.3,17.6
23,6.8,2.8,5.45,3.55,4.5,17.5
24,7,2.8,5.9,3.55,4.725,17.4
25,7.2,2.8,5.95,3.75,4.85,17.2
26,7.3,2.8,6.15,3.75,4.95,17
27,7.5,2.8,6.15,3.85,5,16.8
28,7.75,2.9,6.2,3.95,5.075,16.6
29,7.85,2.9,5.7,4.05,5.1,16.4
30,8.05,2.9,5.75,4.15,5.155,16.2
