ISOLATE,ST,   LOG10N0        ,lag_h   ,mumax  ,Nmax,Gmodel
R100084,9,3.62251813,0,0.08350774,8.14006793,Buchanan
R101113,81,3.35926121,20.66517493,0.06619465,8.67909978,Buchanan
R101099,17,3.063264,16.6312535,0.0635997,8.5964482,Buchanan
R100941,75,3.05808894,2.46014787,0.06561712,8.52949541,Buchanan
R100056,13,3.4606943,7.46925627,0.08961074,8.41567986,Buchanan
R100531,48,2.94601678,31.15347492,0.07654979,8.48074397,Buchanan
R103286,36,3.27284,1.94478736,0.08765463,8.72866944,Buchanan
R100701,56,3.5333059,5.6255254,0.1101284,8.2562239,Buchanan
R101344,92,2.9052133,5.9145127,0.1069797,8.5966,Buchanan
R101587,102,3.42001649,0,0.04815305,7.60863489,Buchanan
R102381,2,3.29781566,14.77876026,0.07797043,7.18215337,Buchanan
R101181,41,3.26621987,5.24077824,0.06710485,8.16172988,Buchanan
